Layout Name,Algorithm,Nodes Expanded,Path Cost
bigCorners_136,mm,"229",58
bigCorners_136,mm0,"388",58
bigCorners_137,dfs,"459",125
bigCorners_137,bfs,"536",57
bigCorners_137,astar,"156",57
bigCorners_137,ucs,"536",57
bigCorners_137,mm,"230",57
bigCorners_137,mm0,"398",57
bigCorners_138,dfs,"459",124
bigCorners_138,bfs,"536",56
bigCorners_138,astar,"156",56
bigCorners_138,ucs,"536",56
bigCorners_138,mm,"206",56
bigCorners_138,mm0,"391",56
bigCorners_139,dfs,"450",90
bigCorners_139,bfs,"544",70
bigCorners_139,astar,"316",70
bigCorners_139,ucs,"544",70
bigCorners_139,mm,"378",70
bigCorners_139,mm0,"458",70
bigCorners_14,dfs,"408",185
bigCorners_14,bfs,"512",53
bigCorners_14,astar,"153",53
bigCorners_14,ucs,"512",53
bigCorners_14,mm,"206",53
bigCorners_14,mm0,"352",53
bigCorners_140,dfs,"450",89
bigCorners_140,bfs,"544",69
bigCorners_140,astar,"316",69
bigCorners_140,ucs,"544",69
bigCorners_140,mm,"382",69
bigCorners_140,mm0,"459",69
bigCorners_141,dfs,"450",88
bigCorners_141,bfs,"544",68
bigCorners_141,astar,"316",68
bigCorners_141,ucs,"544",68
bigCorners_141,mm,"368",68
bigCorners_141,mm0,"454",68
bigCorners_142,dfs,"438",109
bigCorners_142,bfs,"556",69
bigCorners_142,astar,"327",69
bigCorners_142,ucs,"556",69
bigCorners_142,mm,"399",69
bigCorners_142,mm0,"464",69
bigCorners_143,dfs,"439",110
bigCorners_143,bfs,"562",70
bigCorners_143,astar,"333",70
bigCorners_143,ucs,"562",70
bigCorners_143,mm,"399",70
bigCorners_143,mm0,"464",70
bigCorners_144,dfs,"452",80
bigCorners_144,bfs,"651",80
bigCorners_144,astar,"280",80
bigCorners_144,ucs,"651",80
bigCorners_144,mm,"432",80
bigCorners_144,mm0,"504",80
bigCorners_145,dfs,"346",118
bigCorners_145,bfs,"647",78
bigCorners_145,astar,"481",78
bigCorners_145,ucs,"647",78
bigCorners_145,mm,"498",78
bigCorners_145,mm0,"519",78
bigCorners_146,dfs,"452",72
bigCorners_146,bfs,"651",72
bigCorners_146,astar,"242",72
bigCorners_146,ucs,"651",72
bigCorners_146,mm,"348",72
bigCorners_146,mm0,"442",72
bigCorners_147,dfs,"351",121
bigCorners_147,bfs,"651",71
bigCorners_147,astar,"237",71
bigCorners_147,ucs,"651",71
bigCorners_147,mm,"339",71
bigCorners_147,mm0,"444",71
bigCorners_148,dfs,"352",122
bigCorners_148,bfs,"651",70
bigCorners_148,astar,"225",70
bigCorners_148,ucs,"651",70
bigCorners_148,mm,"251",70
bigCorners_148,mm0,"436",70
bigCorners_149,dfs,"427",125
bigCorners_149,bfs,"338",33
bigCorners_149,astar,"71",33
bigCorners_149,ucs,"338",33
bigCorners_149,mm,"75",33
bigCorners_149,mm0,"161",33
bigCorners_15,dfs,"404",186
bigCorners_15,bfs,"516",54
bigCorners_15,astar,"154",54
bigCorners_15,ucs,"516",54
bigCorners_15,mm,"210",54
bigCorners_15,mm0,"361",54
bigCorners_150,dfs,"409",167
bigCorners_150,bfs,"432",43
bigCorners_150,astar,"95",43
bigCorners_150,ucs,"432",43
bigCorners_150,mm,"127",43
bigCorners_150,mm0,"208",43
bigCorners_151,dfs,"459",123
bigCorners_151,bfs,"533",55
bigCorners_151,astar,"150",55
bigCorners_151,ucs,"533",55
bigCorners_151,mm,"206",55
bigCorners_151,mm0,"383",55
bigCorners_152,dfs,"450",107
bigCorners_152,bfs,"544",69
bigCorners_152,astar,"317",69
bigCorners_152,ucs,"544",69
bigCorners_152,mm,"383",69
bigCorners_152,mm0,"459",69
bigCorners_153,dfs,"451",79
bigCorners_153,bfs,"651",79
bigCorners_153,astar,"280",79
bigCorners_153,ucs,"651",79
bigCorners_153,mm,"433",79
bigCorners_153,mm0,"503",79
bigCorners_154,dfs,"346",117
bigCorners_154,bfs,"651",77
bigCorners_154,astar,"435",77
bigCorners_154,ucs,"651",77
bigCorners_154,mm,"484",77
bigCorners_154,mm0,"506",77
bigCorners_155,dfs,"349",119
bigCorners_155,bfs,"651",73
bigCorners_155,astar,"243",73
bigCorners_155,ucs,"651",73
bigCorners_155,mm,"374",73
bigCorners_155,mm0,"450",73
bigCorners_156,dfs,"452",69
bigCorners_156,bfs,"651",69
bigCorners_156,astar,"207",69
bigCorners_156,ucs,"651",69
bigCorners_156,mm,"251",69
bigCorners_156,mm0,"427",69
bigCorners_157,dfs,"423",126
bigCorners_157,bfs,"328",34
bigCorners_157,astar,"69",34
bigCorners_157,ucs,"328",34
bigCorners_157,mm,"52",34
bigCorners_157,mm0,"153",34
bigCorners_158,dfs,"427",125
bigCorners_158,bfs,"328",33
bigCorners_158,astar,"69",33
bigCorners_158,ucs,"328",33
bigCorners_158,mm,"54",33
bigCorners_158,mm0,"156",33
bigCorners_159,dfs,"427",124
bigCorners_159,bfs,"328",32
bigCorners_159,astar,"69",32
bigCorners_159,ucs,"328",32
bigCorners_159,mm,"74",32
bigCorners_159,mm0,"157",32
bigCorners_16,dfs,"404",187
bigCorners_16,bfs,"520",55
bigCorners_16,astar,"155",55
bigCorners_16,ucs,"520",55
bigCorners_16,mm,"213",55
bigCorners_16,mm0,"382",55
bigCorners_160,dfs,"419",157
bigCorners_160,bfs,"328",33
bigCorners_160,astar,"70",33
bigCorners_160,ucs,"328",33
bigCorners_160,mm,"80",33
bigCorners_160,mm0,"163",33
bigCorners_161,dfs,"419",158
bigCorners_161,bfs,"328",34
bigCorners_161,astar,"71",34
bigCorners_161,ucs,"328",34
bigCorners_161,mm,"88",34
bigCorners_161,mm0,"163",34
bigCorners_162,dfs,"419",159
bigCorners_162,bfs,"338",35
bigCorners_162,astar,"72",35
bigCorners_162,ucs,"338",35
bigCorners_162,mm,"88",35
bigCorners_162,mm0,"168",35
bigCorners_163,dfs,"419",160
bigCorners_163,bfs,"346",36
bigCorners_163,astar,"81",36
bigCorners_163,ucs,"346",36
bigCorners_163,mm,"99",36
bigCorners_163,mm0,"166",36
bigCorners_164,dfs,"419",161
bigCorners_164,bfs,"358",37
bigCorners_164,astar,"82",37
bigCorners_164,ucs,"358",37
bigCorners_164,mm,"100",37
bigCorners_164,mm0,"174",37
bigCorners_165,dfs,"411",162
bigCorners_165,bfs,"372",38
bigCorners_165,astar,"85",38
bigCorners_165,ucs,"372",38
bigCorners_165,mm,"105",38
bigCorners_165,mm0,"174",38
bigCorners_166,dfs,"411",163
bigCorners_166,bfs,"386",39
bigCorners_166,astar,"86",39
bigCorners_166,ucs,"386",39
bigCorners_166,mm,"106",39
bigCorners_166,mm0,"184",39
bigCorners_167,dfs,"409",164
bigCorners_167,bfs,"401",40
bigCorners_167,astar,"87",40
bigCorners_167,ucs,"401",40
bigCorners_167,mm,"112",40
bigCorners_167,mm0,"184",40
bigCorners_168,dfs,"409",165
bigCorners_168,bfs,"411",41
bigCorners_168,astar,"88",41
bigCorners_168,ucs,"411",41
bigCorners_168,mm,"115",41
bigCorners_168,mm0,"197",41
bigCorners_169,dfs,"409",166
bigCorners_169,bfs,"421",42
bigCorners_169,astar,"93",42
bigCorners_169,ucs,"421",42
bigCorners_169,mm,"124",42
bigCorners_169,mm0,"201",42
bigCorners_17,dfs,"404",188
bigCorners_17,bfs,"523",56
bigCorners_17,astar,"170",56
bigCorners_17,ucs,"523",56
bigCorners_17,mm,"262",56
bigCorners_17,mm0,"394",56
bigCorners_170,dfs,"263",88
bigCorners_170,bfs,"507",48
bigCorners_170,astar,"136",48
bigCorners_170,ucs,"507",48
bigCorners_170,mm,"167",48
bigCorners_170,mm0,"256",48
bigCorners_171,dfs,"469",117
bigCorners_171,bfs,"513",49
bigCorners_171,astar,"138",49
bigCorners_171,ucs,"513",49
bigCorners_171,mm,"176",49
bigCorners_171,mm0,"278",49
bigCorners_172,dfs,"467",118
bigCorners_172,bfs,"515",50
bigCorners_172,astar,"140",50
bigCorners_172,ucs,"515",50
bigCorners_172,mm,"178",50
bigCorners_172,mm0,"285",50
bigCorners_173,dfs,"467",119
bigCorners_173,bfs,"517",51
bigCorners_173,astar,"142",51
bigCorners_173,ucs,"517",51
bigCorners_173,mm,"187",51
bigCorners_173,mm0,"309",51
bigCorners_174,dfs,"459",120
bigCorners_174,bfs,"521",52
bigCorners_174,astar,"146",52
bigCorners_174,ucs,"521",52
bigCorners_174,mm,"189",52
bigCorners_174,mm0,"316",52
bigCorners_175,dfs,"459",121
bigCorners_175,bfs,"525",53
bigCorners_175,astar,"147",53
bigCorners_175,ucs,"525",53
bigCorners_175,mm,"198",53
bigCorners_175,mm0,"346",53
bigCorners_176,dfs,"459",122
bigCorners_176,bfs,"529",54
bigCorners_176,astar,"148",54
bigCorners_176,ucs,"529",54
bigCorners_176,mm,"198",54
bigCorners_176,mm0,"356",54
bigCorners_177,dfs,"467",128
bigCorners_177,bfs,"521",60
bigCorners_177,astar,"148",60
bigCorners_177,ucs,"521",60
bigCorners_177,mm,"235",60
bigCorners_177,mm0,"308",60
bigCorners_178,dfs,"450",106
bigCorners_178,bfs,"544",70
bigCorners_178,astar,"320",70
bigCorners_178,ucs,"544",70
bigCorners_178,mm,"380",70
bigCorners_178,mm0,"458",70
bigCorners_179,dfs,"449",107
bigCorners_179,bfs,"544",71
bigCorners_179,astar,"320",71
bigCorners_179,ucs,"544",71
bigCorners_179,mm,"395",71
bigCorners_179,mm0,"462",71
bigCorners_18,dfs,"404",189
bigCorners_18,bfs,"528",57
bigCorners_18,astar,"229",57
bigCorners_18,ucs,"528",57
bigCorners_18,mm,"273",57
bigCorners_18,mm0,"420",57
bigCorners_180,dfs,"450",108
bigCorners_180,bfs,"544",72
bigCorners_180,astar,"320",72
bigCorners_180,ucs,"544",72
bigCorners_180,mm,"391",72
bigCorners_180,mm0,"464",72
bigCorners_181,dfs,"450",78
bigCorners_181,bfs,"651",78
bigCorners_181,astar,"280",78
bigCorners_181,ucs,"651",78
bigCorners_181,mm,"410",78
bigCorners_181,mm0,"493",78
bigCorners_182,dfs,"444",119
bigCorners_182,bfs,"651",77
bigCorners_182,astar,"280",77
bigCorners_182,ucs,"651",77
bigCorners_182,mm,"411",77
bigCorners_182,mm0,"492",77
bigCorners_183,dfs,"346",116
bigCorners_183,bfs,"651",76
bigCorners_183,astar,"280",76
bigCorners_183,ucs,"651",76
bigCorners_183,mm,"393",76
bigCorners_183,mm0,"482",76
bigCorners_184,dfs,"347",117
bigCorners_184,bfs,"651",75
bigCorners_184,astar,"246",75
bigCorners_184,ucs,"651",75
bigCorners_184,mm,"392",75
bigCorners_184,mm0,"464",75
bigCorners_185,dfs,"348",118
bigCorners_185,bfs,"651",74
bigCorners_185,astar,"244",74
bigCorners_185,ucs,"651",74
bigCorners_185,mm,"373",74
bigCorners_185,mm0,"449",74
bigCorners_186,dfs,"452",68
bigCorners_186,bfs,"651",68
bigCorners_186,astar,"203",68
bigCorners_186,ucs,"651",68
bigCorners_186,mm,"237",68
bigCorners_186,mm0,"407",68
bigCorners_187,dfs,"427",127
bigCorners_187,bfs,"328",35
bigCorners_187,astar,"69",35
bigCorners_187,ucs,"328",35
bigCorners_187,mm,"64",35
bigCorners_187,mm0,"153",35
bigCorners_188,dfs,"419",155
bigCorners_188,bfs,"318",31
bigCorners_188,astar,"65",31
bigCorners_188,ucs,"318",31
bigCorners_188,mm,"70",31
bigCorners_188,mm0,"154",31
bigCorners_189,dfs,"419",163
bigCorners_189,bfs,"372",39
bigCorners_189,astar,"85",39
bigCorners_189,ucs,"372",39
bigCorners_189,mm,"96",39
bigCorners_189,mm0,"177",39
bigCorners_19,dfs,"273",74
bigCorners_19,bfs,"530",58
bigCorners_19,astar,"252",58
bigCorners_19,ucs,"530",58
bigCorners_19,mm,"296",58
bigCorners_19,mm0,"434",58
bigCorners_190,dfs,"411",165
bigCorners_190,bfs,"401",41
bigCorners_190,astar,"87",41
bigCorners_190,ucs,"401",41
bigCorners_190,mm,"110",41
bigCorners_190,mm0,"188",41
bigCorners_191,dfs,"469",115
bigCorners_191,bfs,"505",47
bigCorners_191,astar,"133",47
bigCorners_191,ucs,"505",47
bigCorners_191,mm,"167",47
bigCorners_191,mm0,"250",47
bigCorners_192,dfs,"469",119
bigCorners_192,bfs,"515",51
bigCorners_192,astar,"140",51
bigCorners_192,ucs,"515",51
bigCorners_192,mm,"198",51
bigCorners_192,mm0,"293",51
bigCorners_193,dfs,"467",121
bigCorners_193,bfs,"521",53
bigCorners_193,astar,"147",53
bigCorners_193,ucs,"521",53
bigCorners_193,mm,"212",53
bigCorners_193,mm0,"325",53
bigCorners_194,dfs,"466",127
bigCorners_194,bfs,"521",59
bigCorners_194,astar,"148",59
bigCorners_194,ucs,"521",59
bigCorners_194,mm,"238",59
bigCorners_194,mm0,"318",59
bigCorners_195,dfs,"450",105
bigCorners_195,bfs,"544",71
bigCorners_195,astar,"321",71
bigCorners_195,ucs,"544",71
bigCorners_195,mm,"398",71
bigCorners_195,mm0,"462",71
bigCorners_196,dfs,"446",117
bigCorners_196,bfs,"651",79
bigCorners_196,astar,"280",79
bigCorners_196,ucs,"651",79
bigCorners_196,mm,"433",79
bigCorners_196,mm0,"503",79
bigCorners_197,dfs,"350",119
bigCorners_197,bfs,"651",75
bigCorners_197,astar,"244",75
bigCorners_197,ucs,"651",75
bigCorners_197,mm,"391",75
bigCorners_197,mm0,"457",75
bigCorners_198,dfs,"452",67
bigCorners_198,bfs,"651",67
bigCorners_198,astar,"195",67
bigCorners_198,ucs,"651",67
bigCorners_198,mm,"231",67
bigCorners_198,mm0,"400",67
bigCorners_199,dfs,"427",128
bigCorners_199,bfs,"328",36
bigCorners_199,astar,"69",36
bigCorners_199,ucs,"328",36
bigCorners_199,mm,"68",36
bigCorners_199,mm0,"149",36
bigCorners_2,dfs,"444",116
bigCorners_2,bfs,"427",44
bigCorners_2,astar,"99",44
bigCorners_2,ucs,"427",44
bigCorners_2,mm,"98",44
bigCorners_2,mm0,"203",44
bigCorners_20,dfs,"274",75
bigCorners_20,bfs,"532",59
bigCorners_20,astar,"253",59
bigCorners_20,ucs,"532",59
bigCorners_20,mm,"292",59
bigCorners_20,mm0,"446",59
bigCorners_200,dfs,"419",154
bigCorners_200,bfs,"310",30
bigCorners_200,astar,"63",30
bigCorners_200,ucs,"310",30
bigCorners_200,mm,"69",30
bigCorners_200,mm0,"144",30
bigCorners_201,dfs,"417",168
bigCorners_201,bfs,"372",44
bigCorners_201,astar,"85",44
bigCorners_201,ucs,"372",44
bigCorners_201,mm,"99",44
bigCorners_201,mm0,"164",44
bigCorners_202,dfs,"419",167
bigCorners_202,bfs,"372",43
bigCorners_202,astar,"85",43
bigCorners_202,ucs,"372",43
bigCorners_202,mm,"101",43
bigCorners_202,mm0,"169",43
bigCorners_203,dfs,"419",166
bigCorners_203,bfs,"372",42
bigCorners_203,astar,"85",42
bigCorners_203,ucs,"372",42
bigCorners_203,mm,"96",42
bigCorners_203,mm0,"166",42
bigCorners_204,dfs,"419",165
bigCorners_204,bfs,"372",41
bigCorners_204,astar,"85",41
bigCorners_204,ucs,"372",41
bigCorners_204,mm,"99",41
bigCorners_204,mm0,"174",41
bigCorners_205,dfs,"419",164
bigCorners_205,bfs,"372",40
bigCorners_205,astar,"85",40
bigCorners_205,ucs,"372",40
bigCorners_205,mm,"96",40
bigCorners_205,mm0,"170",40
bigCorners_206,dfs,"411",166
bigCorners_206,bfs,"401",42
bigCorners_206,astar,"87",42
bigCorners_206,ucs,"401",42
bigCorners_206,mm,"110",42
bigCorners_206,mm0,"182",42
bigCorners_207,dfs,"469",116
bigCorners_207,bfs,"475",48
bigCorners_207,astar,"128",48
bigCorners_207,ucs,"475",48
bigCorners_207,mm,"168",48
bigCorners_207,mm0,"223",48
bigCorners_208,dfs,"469",114
bigCorners_208,bfs,"494",46
bigCorners_208,astar,"132",46
bigCorners_208,ucs,"494",46
bigCorners_208,mm,"158",46
bigCorners_208,mm0,"230",46
bigCorners_209,dfs,"469",120
bigCorners_209,bfs,"515",52
bigCorners_209,astar,"140",52
bigCorners_209,ucs,"515",52
bigCorners_209,mm,"200",52
bigCorners_209,mm0,"285",52
bigCorners_21,dfs,"275",76
bigCorners_21,bfs,"532",60
bigCorners_21,astar,"264",60
bigCorners_21,ucs,"532",60
bigCorners_21,mm,"318",60
bigCorners_21,mm0,"445",60
bigCorners_210,dfs,"467",122
bigCorners_210,bfs,"521",54
bigCorners_210,astar,"148",54
bigCorners_210,ucs,"521",54
bigCorners_210,mm,"213",54
bigCorners_210,mm0,"316",54
bigCorners_211,dfs,"462",123
bigCorners_211,bfs,"521",55
bigCorners_211,astar,"148",55
bigCorners_211,ucs,"521",55
bigCorners_211,mm,"223",55
bigCorners_211,mm0,"323",55
bigCorners_212,dfs,"463",124
bigCorners_212,bfs,"521",56
bigCorners_212,astar,"148",56
bigCorners_212,ucs,"521",56
bigCorners_212,mm,"221",56
bigCorners_212,mm0,"314",56
bigCorners_213,dfs,"464",125
bigCorners_213,bfs,"521",57
bigCorners_213,astar,"148",57
bigCorners_213,ucs,"521",57
bigCorners_213,mm,"229",57
bigCorners_213,mm0,"321",57
bigCorners_214,dfs,"465",126
bigCorners_214,bfs,"521",58
bigCorners_214,astar,"148",58
bigCorners_214,ucs,"521",58
bigCorners_214,mm,"227",58
bigCorners_214,mm0,"312",58
bigCorners_215,dfs,"450",104
bigCorners_215,bfs,"544",72
bigCorners_215,astar,"322",72
bigCorners_215,ucs,"544",72
bigCorners_215,mm,"395",72
bigCorners_215,mm0,"464",72
bigCorners_216,dfs,"449",105
bigCorners_216,bfs,"544",73
bigCorners_216,astar,"322",73
bigCorners_216,ucs,"544",73
bigCorners_216,mm,"411",73
bigCorners_216,mm0,"467",73
bigCorners_217,dfs,"450",106
bigCorners_217,bfs,"544",74
bigCorners_217,astar,"322",74
bigCorners_217,ucs,"544",74
bigCorners_217,mm,"404",74
bigCorners_217,mm0,"470",74
bigCorners_218,dfs,"446",116
bigCorners_218,bfs,"651",80
bigCorners_218,astar,"280",80
bigCorners_218,ucs,"651",80
bigCorners_218,mm,"432",80
bigCorners_218,mm0,"504",80
bigCorners_219,dfs,"446",118
bigCorners_219,bfs,"651",86
bigCorners_219,astar,"280",86
bigCorners_219,ucs,"651",86
bigCorners_219,mm,"478",86
bigCorners_219,mm0,"533",86
bigCorners_22,dfs,"276",77
bigCorners_22,bfs,"534",61
bigCorners_22,astar,"285",61
bigCorners_22,ucs,"534",61
bigCorners_22,mm,"318",61
bigCorners_22,mm0,"454",61
bigCorners_220,dfs,"350",120
bigCorners_220,bfs,"651",76
bigCorners_220,astar,"244",76
bigCorners_220,ucs,"651",76
bigCorners_220,mm,"390",76
bigCorners_220,mm0,"458",76
bigCorners_221,dfs,"452",66
bigCorners_221,bfs,"651",66
bigCorners_221,astar,"175",66
bigCorners_221,ucs,"651",66
bigCorners_221,mm,"193",66
bigCorners_221,mm0,"388",66
bigCorners_222,dfs,"427",129
bigCorners_222,bfs,"328",37
bigCorners_222,astar,"69",37
